@relation responses_discretized-weka.filters.unsupervised.attribute.Remove-R1

@attribute SalaryUSD {Low,'Very High',High,'Very Low',Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute PopulationOfLargestCityWithin20Miles {t,m,C,c,T}
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute EducationIsComputerRelated {Yes,No}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
High,USA,M,14,E,DBAP,N,14,3,2,m,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,23,E,DA,N,32,2,0,t,LG,S,M,?,?,?,?,?,?
Low,Canada,M,8,E,DA,N,16,3,1,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,18,E,M,Y,2,1,0,C,SG,S,M,?,?,?,?,?,?
High,USA,M,20,E,DBAG,N,6,5,2,m,LG,S,M,?,?,?,?,?,?
High,USA,M,25,E,DBAD,N,15,3,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,27,E,A,N,30,5,0,c,PB,S,M,?,?,?,?,?,?
Low,USA,M,5,E,DBAD,N,1,2,2,c,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,15,E,DBAP,N,8,3,0,c,PB,C,M,?,?,?,?,?,?
Mid,Israel,M,5,E,DBAD,N,4,3,1,C,PB,S,M,?,?,?,?,?,?
High,USA,M,8,E,DBAP,N,6,1,6,C,PB,S,M,?,?,?,?,?,?
Mid,Ireland,M,23,E,DBAG,N,14,4,1,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,21,E,DBAG,Y,17,2,0,c,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,25,E,DBAG,N,25,2,0,C,PB,S,F,?,?,?,?,?,?
Low,Ireland,M,4,E,DBAG,N,4,1,1,c,PB,?,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAG,N,4,2,0,m,PB,S,M,?,?,?,?,?,?
Low,UK,M,20,E,DBAG,N,4,1,1,m,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAP,N,27,4,1,m,FG,S,M,?,?,?,?,?,?
Low,USA,M,4,E,D,N,4,1,0,C,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DT,Y,3,5,1,m,PB,SR,M,?,?,?,?,?,?
Mid,UK,M,23,E,M,Y,5,1,0,c,PB,SE,M,?,?,?,?,?,?
'Very Low',Canada,M,2,E,DBAG,N,2,1,0,t,PB,S,M,?,?,?,?,?,?
High,USA,M,23,EC,D,N,12,2,0,T,SG,S,M,?,?,?,?,?,?
High,USA,M,15,E,DBAG,N,15,3,1,c,PB,SE,M,?,?,?,?,?,?
Mid,USA,M,7,E,DBAG,N,7,1,0,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,7,E,DBAD,N,7,1,0,c,PB,S,M,?,?,?,?,?,?
High,USA,M,20,E,DA,N,20,4,0,C,E,S,M,?,?,?,?,?,?
High,USA,M,21,E,DT,N,25,4,1,c,PB,C,M,?,?,?,?,?,?
'Very Low',UK,M,5,E,AN,N,3,1,5,c,PB,C,M,?,?,?,?,?,?
High,USA,M,10,E,DBAG,Y,2,1,3,c,FG,SE,M,?,?,?,?,?,?
Low,USA,M,7,E,DBAP,N,7,1,6,m,PB,SE,?,?,?,?,?,?,?
High,USA,M,20,E,E,N,25,3,3,T,PB,S,M,?,?,?,?,?,?
High,USA,O,20,E,DBAP,Y,32,6,5,m,E,S,M,?,?,?,?,?,?
High,USA,M,9,E,A,N,32,4,0,c,SG,?,M,?,?,?,?,?,?
'Very Low',Argentina,M,9,E,DT,Y,12,1,1,m,PB,S,M,?,?,?,?,?,?
Low,USA,M,10,E,DT,N,6,2,2,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,25,E,DBAG,Y,15,3,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,14,E,M,Y,1,4,0,C,PB,?,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DA,N,25,6,3,C,PB,S,M,?,?,?,?,?,?
High,USA,M,5,E,D,Y,5,1,1,C,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,10,P,D,N,10,1,0,C,PB,C,F,?,?,?,?,?,?
Mid,USA,M,15,E,DBAG,N,1,3,0,c,PB,?,M,?,?,?,?,?,?
High,USA,M,7,E,DBAG,N,7,3,6,C,PB,SE,M,?,?,?,?,?,?
Low,USA,M,7,E,DBAD,N,5,1,1,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,?,Y,6,4,0,m,PB,S,M,?,?,?,?,?,?
High,USA,?,13,E,DBAG,N,13,4,0,m,PB,SE,M,?,?,?,?,?,?
Low,USA,M,5,E,M,Y,2,1,1,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,2,E,DBAP,N,2,1,0,C,PB,C,M,?,?,?,?,?,?
Low,USA,M,4,E,AN,N,4,1,2,C,PB,SR,F,?,?,?,?,?,?
Mid,USA,M,6,E,DBAG,N,6,2,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,N,7,2,0,T,PB,S,M,?,?,?,?,?,?
'Very Low',India,M,13,E,DBAP,N,8,4,6,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,8,E,DA,N,35,6,0,m,SG,SR,M,?,?,?,?,?,?
'Very Low',Peru,M,8,EC,DBAP,N,8,2,0,m,PB,?,M,?,?,?,?,?,?
High,USA,M,25,E,DA,Y,25,6,2,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAD,Y,20,5,1,C,PB,S,M,?,?,?,?,?,?
High,Australia,M,11,E,DBAP,N,1,6,3,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,24,E,DBAG,N,25,5,1,C,PB,S,F,?,?,?,?,?,?
'Very High',Canada,M,15,E,DBAP,N,17,1,4,C,LG,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DBAD,N,15,2,1,m,PB,S,M,?,?,?,?,?,?
High,USA,M,14,E,DBAD,N,11,1,0,C,SG,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,M,Y,24,1,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAG,Y,4,1,0,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,23,E,M,Y,35,5,0,t,PB,S,M,?,?,?,?,?,?
Low,USA,M,4,E,DBAG,N,4,2,2,C,PB,S,M,?,?,?,?,?,?
Low,Germany,M,11,E,DBAP,Y,11,2,1,m,PB,S,M,?,?,?,?,?,?
'Very Low',India,M,9,E,DBAP,N,9,4,6,m,PB,SE,M,?,?,?,?,?,?
Mid,USA,M,18,E,DT,Y,13,1,6,c,PB,S,F,?,?,?,?,?,?
Mid,USA,M,8,E,D,N,20,3,0,c,NP,S,M,?,?,?,?,?,?
Low,Canada,M,6,E,DBAG,N,6,1,5,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,7,E,DA,N,42,6,6,C,E,S,M,?,?,?,?,?,?
'Very Low',India,M,12,E,DBAD,N,14,4,0,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,17,IC,A,N,28,6,0,m,PB,C,M,?,?,?,?,?,?
Low,USA,M,20,E,DA,N,25,1,0,C,LG,S,M,?,?,?,?,?,?
'Very Low',Venezuela,M,17,E,DBAD,N,17,6,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',Spain,M,15,E,E,N,4,3,0,C,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,21,E,DBAP,Y,21,5,0,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,8,E,AN,N,8,1,4,T,PB,S,M,?,?,?,?,?,?
Low,USA,M,5,E,DBAG,N,5,2,0,C,NP,S,M,?,?,?,?,?,?
Mid,USA,M,4,E,DBAP,N,4,1,0,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,20,EC,DBAD,Y,20,2,2,c,PB,S,M,?,?,?,?,?,?
High,USA,M,7,E,DBAP,Y,5,2,5,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DT,N,10,1,0,T,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,3,E,DBAG,N,2,2,0,t,NP,S,M,?,?,?,?,?,?
High,USA,M,10,E,M,Y,5,1,0,m,NP,S,M,?,?,?,?,?,?
Low,UK,M,2,E,DBAG,N,2,1,0,m,PB,S,M,?,?,?,?,?,?
Low,USA,M,22,E,DT,N,1,5,1,m,SG,S,M,?,?,?,?,?,?
High,USA,M,15,E,DBAG,N,1,4,0,m,NP,S,F,?,?,?,?,?,?
Low,USA,M,7,E,DS,N,2,1,0,c,PB,S,F,?,?,?,?,?,?
Mid,Canada,M,20,IC,DA,N,25,2,0,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,10,E,E,N,25,5,1,C,PB,?,M,?,?,?,?,?,?
'Very High',USA,M,20,E,M,Y,3,1,3,C,PB,S,F,?,?,?,?,?,?
'Very High',USA,A,15,E,A,N,2,1,6,m,PB,S,M,?,?,?,?,?,?
High,USA,A,2,E,DBAG,N,15,5,0,C,PB,?,?,?,?,?,?,?,?
'Very High',USA,M,20,E,A,N,27,2,0,C,PB,S,M,?,?,?,?,?,?
'Very High',Belgium,M,15,E,E,N,15,1,1,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,8,E,E,N,8,2,1,c,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,20,EC,DBAP,N,20,1,0,m,NP,S,M,?,?,?,?,?,?
Low,Canada,M,15,E,DBAD,N,7,2,0,m,PB,S,F,?,?,?,?,?,?
Mid,USA,M,10,EC,DBAD,N,1,1,0,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,3,E,D,N,8,6,2,C,PB,SE,F,?,?,?,?,?,?
Low,USA,M,3,E,DBAG,N,3,1,3,m,PB,C,M,?,?,?,?,?,?
Mid,Canada,M,15,E,E,Y,5,1,1,m,PB,S,F,?,?,?,?,?,?
High,USA,M,15,E,DBAG,N,25,2,2,T,E,C,M,?,?,?,?,?,?
Mid,USA,M,7,E,DBAP,N,2,1,1,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,20,E,DBAG,N,5,3,0,c,NP,S,M,?,?,?,?,?,?
Mid,USA,M,25,EC,?,N,35,4,1,C,PB,S,M,?,?,?,?,?,?
Low,Israel,M,14,E,DBAP,N,14,3,1,C,PB,SR,M,?,?,?,?,?,?
Low,USA,M,12,E,D,N,12,3,2,C,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,16,E,A,N,25,3,0,C,SG,S,F,?,?,?,?,?,?
'Very Low',Poland,M,8,E,D,N,8,4,0,C,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,21,E,A,N,15,5,0,C,PB,S,M,?,?,?,?,?,?
'Very Low',France,M,10,E,DBAP,N,24,6,0,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,24,E,A,Y,18,6,0,C,PB,S,M,?,?,?,?,?,?
Low,UK,M,9,E,DBAP,N,3,4,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',Canada,M,8,E,DA,N,8,1,3,T,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAP,N,10,6,5,m,PB,S,M,?,?,?,?,?,?
Low,UK,M,11,E,DA,N,9,3,6,T,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,5,E,DBAD,N,5,1,0,m,E,S,F,?,?,?,?,?,?
High,USA,M,7,E,DBAG,N,8,2,1,t,PB,?,M,?,?,?,?,?,?
Mid,USA,M,7,E,E,N,7,4,2,C,PB,S,M,?,?,?,?,?,?
'Very High',Canada,M,21,IC,DT,N,21,6,2,t,PB,S,M,?,?,?,?,?,?
'Very Low',Malaysia,M,9,E,DBAP,Y,9,5,1,m,PB,?,M,?,?,?,?,?,?
Mid,USA,M,14,E,DT,N,20,1,0,c,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,12,E,DBAG,Y,12,1,1,m,PB,S,?,?,?,?,?,?,?
Low,USA,M,15,E,DT,N,15,2,5,T,PB,SR,M,?,?,?,?,?,?
Low,USA,M,7,EC,DT,N,7,4,3,T,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,20,E,A,N,9,1,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,23,EC,A,N,20,6,0,T,SG,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,M,Y,20,3,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,19,E,M,Y,15,2,0,t,E,S,M,?,?,?,?,?,?
High,USA,M,20,E,DBAG,N,20,6,0,c,PB,S,M,?,?,?,?,?,?
High,USA,M,25,E,DBAG,N,22,3,0,C,PB,S,F,?,?,?,?,?,?
'Very High',Sweden,M,20,E,DBAG,N,2,6,2,C,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,16,E,DBAG,N,6,2,4,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,3,E,DBAG,N,3,2,2,c,PB,?,M,?,?,?,?,?,?
High,USA,M,15,E,E,N,20,2,2,m,PB,SR,M,?,?,?,?,?,?
High,USA,M,20,E,M,Y,20,1,1,c,PB,C,F,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,Y,4,4,1,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,MS,5,E,DBAG,N,5,2,1,C,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,15,IC,DBAD,N,10,4,0,T,PB,S,M,?,?,?,?,?,?
Mid,USA,M,20,E,DBAG,N,15,2,0,c,LG,S,M,?,?,?,?,?,?
Mid,USA,M,5,E,DBAG,N,16,2,0,m,LG,S,M,?,?,?,?,?,?
Low,USA,M,5,E,DBAP,N,5,1,0,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,20,E,DBAG,N,20,4,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,6,E,DBAG,N,3,3,3,c,E,SR,M,?,?,?,?,?,?
'Very High',USA,M,18,E,DBAG,N,18,6,5,C,E,C,M,?,?,?,?,?,?
Low,USA,P,1,E,DA,N,2,1,5,C,PB,S,M,?,?,?,?,?,?
Low,Netherlands,M,1,E,DBAP,N,20,1,3,c,LG,S,M,?,?,?,?,?,?
'Very Low',Russia,M,14,E,DBAP,Y,5,3,4,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,25,E,DT,N,25,4,6,m,PB,S,M,?,?,?,?,?,?
'Very Low',USA,M,6,E,M,N,6,1,0,c,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,20,E,E,N,20,4,0,m,PB,SE,M,?,?,?,?,?,?
Low,Ireland,M,15,E,DBAP,N,15,2,1,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DA,Y,15,2,2,m,PB,S,M,?,?,?,?,?,?
'Very Low',Canada,M,7,E,DBAD,Y,2,2,0,m,PB,S,F,?,?,?,?,?,?
Low,USA,M,15,E,DBAP,N,18,1,6,T,E,S,M,?,?,?,?,?,?
Low,USA,M,5,E,AN,N,5,3,2,c,SG,SR,M,?,?,?,?,?,?
Mid,USA,M,15,E,DBAG,N,15,4,0,C,PB,C,M,?,?,?,?,?,?
Mid,Canada,M,5,E,DBAG,Y,5,1,2,m,PB,SE,M,?,?,?,?,?,?
'Very Low',Italy,M,29,E,DBAG,Y,15,5,0,c,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,15,E,A,N,4,2,0,C,PB,S,M,?,?,?,?,?,?
'Very Low',India,M,10,E,A,N,3,4,1,m,PB,S,M,?,?,?,?,?,?
High,Canada,M,25,E,A,Y,25,1,6,m,PB,S,M,?,?,?,?,?,?
Low,USA,M,4,E,DT,N,4,2,1,m,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,20,E,D,N,20,5,1,C,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAG,N,0,2,0,T,PB,S,M,?,?,?,?,?,?
Low,USA,M,8,E,DBAG,N,8,2,0,c,PB,SE,M,?,?,?,?,?,?
Mid,Canada,O,15,E,DBAD,N,15,1,2,C,PB,S,M,?,?,?,?,?,?
High,USA,M,25,E,DBAG,Y,25,6,3,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,6,E,DBAD,N,7,2,3,c,PB,S,M,?,?,?,?,?,?
High,USA,M,20,E,D,N,17,2,0,t,NP,S,M,?,?,?,?,?,?
'Very High',USA,M,16,E,M,Y,10,3,0,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,6,EC,DBAG,N,6,3,4,C,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DT,Y,12,1,1,m,PB,S,M,?,?,?,?,?,?
High,Poland,M,7,IC,A,N,7,4,0,C,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,25,E,D,N,20,3,0,C,PB,S,F,?,?,?,?,?,?
High,USA,M,11,E,A,N,10,1,0,c,SG,S,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAP,N,4,1,0,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,20,E,DT,N,5,2,1,c,NP,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DBAG,N,5,2,1,m,PB,SE,F,?,?,?,?,?,?
Mid,USA,M,20,E,DBAP,N,20,5,5,c,PB,S,F,?,?,?,?,?,?
'Very High',USA,M,24,EC,AN,Y,24,3,3,C,PB,SE,M,?,?,?,?,?,?
Mid,USA,M,4,E,DBAD,N,3,1,1,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,33,E,DBAG,N,33,6,0,m,PB,S,F,?,?,?,?,?,?
'Very Low',Portugal,M,9,E,DBAD,Y,10,2,1,C,PB,SE,M,?,?,?,?,?,?
High,USA,M,10,E,A,Y,6,2,0,m,PB,S,M,?,?,?,?,?,?
'Very High',Germany,M,15,E,D,N,15,6,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,A,1,E,A,N,5,1,5,C,PB,SR,F,?,?,?,?,?,?
'Very Low',UK,M,20,E,DBAD,Y,25,1,0,C,PB,?,M,?,?,?,?,?,?
High,USA,RDS,3,E,DS,Y,3,1,0,C,PB,?,M,?,?,?,?,?,?
Low,Poland,M,8,E,DBAG,N,8,2,3,C,PB,?,M,?,?,?,?,?,?
'Very High',USA,M,16,EC,DBAG,N,16,4,0,C,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DBAD,N,10,1,1,c,PB,S,M,?,?,?,?,?,?
High,USA,M,8,E,E,N,7,2,0,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,20,E,DBAP,N,20,4,0,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,21,E,DBAP,N,21,5,4,c,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,4,E,DBAP,N,4,2,0,m,PB,C,F,?,?,?,?,?,?
Low,UK,M,4,E,DBAD,N,3,2,4,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAD,N,35,3,2,m,FG,SR,F,?,?,?,?,?,?
'Very High',UK,M,16,IC,DBAG,N,16,6,1,t,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,14,E,A,N,7,1,0,t,PB,C,M,?,?,?,?,?,?
Mid,USA,M,15,E,DBAD,N,23,4,0,C,FG,S,M,?,?,?,?,?,?
Low,UK,M,13,E,DBAP,N,13,5,1,c,NP,SE,M,?,?,?,?,?,?
Mid,USA,O,10,E,DBAG,N,20,1,2,C,NP,S,M,?,?,?,?,?,?
'Very High',USA,M,11,E,A,N,2,1,0,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,20,E,DA,N,20,2,0,m,PB,SR,M,?,?,?,?,?,?
Low,USA,M,5,E,AN,N,5,1,3,m,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,DBAG,N,15,4,2,T,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,18,E,DBAP,N,18,2,1,c,PB,C,M,?,?,?,?,?,?
High,USA,M,20,E,DBAG,N,1,6,1,T,PB,S,M,?,?,?,?,?,?
High,USA,M,20,EC,M,Y,3,1,2,T,PB,S,M,?,?,?,?,?,?
High,USA,M,7,E,DBAP,N,7,4,3,C,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,DBAG,N,10,4,1,c,PB,SE,M,?,?,?,?,?,?
Low,USA,M,6,E,DBAG,N,6,2,1,C,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,17,E,DBAP,Y,19,1,6,T,SG,S,M,?,?,?,?,?,?
High,USA,M,20,E,DBAG,N,20,6,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,10,EC,A,N,2,2,6,c,FG,S,M,?,?,?,?,?,?
'Very High',USA,M,20,IC,DBAG,N,25,2,0,m,PB,S,M,?,?,?,?,?,?
'Very High',Netherlands,M,22,IC,DBAG,N,15,6,6,c,PB,SE,M,?,?,?,?,?,?
Mid,USA,M,11,E,DBAP,N,11,4,6,C,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,21,E,A,Y,21,6,0,t,PB,S,M,?,?,?,?,?,?
High,USA,M,10,E,DBAG,N,8,3,1,c,PB,S,M,?,?,?,?,?,?
Low,USA,?,3,E,A,N,1,3,2,T,PB,?,M,?,?,?,?,?,?
Low,Canada,P,5,E,DBAD,N,20,6,3,c,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,3,E,DT,N,2,1,6,C,PB,?,M,?,?,?,?,?,?
Low,USA,M,15,E,DBAG,Y,7,1,2,c,SG,SR,M,?,?,?,?,?,?
Low,Canada,M,22,E,DBAG,N,20,2,1,m,PB,SR,M,?,?,?,?,?,?
Low,Finland,M,10,E,DBAP,N,1,2,5,t,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,A,Y,2,4,0,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,11,E,DBAP,N,7,3,3,m,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,10,E,DBAP,N,2,1,1,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,1,E,AN,N,2,1,1,m,PB,C,M,?,?,?,?,?,?
Low,Netherlands,M,13,E,DT,N,3,1,4,c,PB,SE,M,?,?,?,?,?,?
High,USA,M,25,E,DBAD,N,11,3,1,m,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,3,E,DT,N,3,1,6,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,N,20,4,0,C,LG,S,F,?,?,?,?,?,?
High,USA,A,4,E,AN,N,4,1,2,C,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,25,E,E,N,25,6,4,C,PB,S,M,?,?,?,?,?,?
High,USA,M,12,E,DBAG,N,6,3,3,m,PB,SE,F,?,?,?,?,?,?
Mid,USA,M,9,EC,DT,N,1,1,0,c,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,8,E,E,N,8,4,1,C,NP,S,F,?,?,?,?,?,?
High,USA,M,15,E,DBAG,N,21,3,0,m,NP,S,M,?,?,?,?,?,?
Mid,USA,P,7,E,DT,N,1,2,5,c,PB,SE,M,?,?,?,?,?,?
Mid,UK,M,10,E,DBAG,N,7,2,6,c,PB,C,M,?,?,?,?,?,?
High,USA,M,6,E,DBAP,N,6,1,3,T,LG,S,M,?,?,?,?,?,?
Mid,USA,M,3,E,DBAP,N,3,1,4,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,9,E,DBAD,N,9,1,1,m,PB,SE,M,?,?,?,?,?,?
'Very Low',Sweden,M,13,E,DBAP,N,13,2,4,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DT,N,15,4,6,m,PB,S,M,?,?,?,?,?,?
High,USA,M,18,IC,DA,N,1,6,0,C,PB,C,M,?,?,?,?,?,?
Mid,Canada,M,18,E,DBAG,N,7,1,0,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,20,E,DBAG,N,20,1,0,c,LG,S,F,?,?,?,?,?,?
High,USA,M,14,E,DBAP,N,10,4,6,C,PB,S,M,?,?,?,?,?,?
'Very Low',India,M,10,E,DBAG,N,10,4,5,c,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAG,N,10,3,1,C,PB,S,M,?,?,?,?,?,?
'Very Low',Turkey,M,6,E,DBAP,Y,6,1,2,m,PB,?,M,?,?,?,?,?,?
High,USA,M,23,E,M,Y,15,2,0,C,LG,S,M,?,?,?,?,?,?
'Very Low',USA,M,1,E,DBAG,N,1,1,2,c,PB,S,M,?,?,?,?,?,?
Low,USA,M,10,E,DBAG,N,14,1,3,C,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,18,IC,DA,N,33,6,4,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DBAG,N,24,1,5,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,7,E,A,Y,7,1,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,10,E,A,N,4,2,0,m,PB,SR,M,?,?,?,?,?,?
High,USA,MS,3,E,DBAP,Y,10,1,1,m,PB,S,F,?,?,?,?,?,?
Low,USA,M,3,E,DT,N,3,1,6,m,PB,S,M,?,?,?,?,?,?
High,USA,M,7,E,DBAG,N,7,3,0,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,4,E,E,N,4,1,6,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,A,2,E,A,N,2,1,0,C,NP,S,M,?,?,?,?,?,?
'Very Low',USA,M,2,E,AN,N,2,2,4,C,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,Y,6,4,0,m,PB,S,F,?,?,?,?,?,?
Low,USA,M,4,E,DBAG,N,4,2,2,C,PB,S,M,?,?,?,?,?,?
High,USA,M,12,E,D,Y,2,1,0,c,SG,SE,M,?,?,?,?,?,?
Low,USA,M,5,E,DBAP,N,5,1,6,m,PB,C,M,?,?,?,?,?,?
'Very Low',Austria,M,5,E,DBAP,Y,1,1,4,T,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAG,N,10,2,2,c,PB,S,M,?,?,?,?,?,?
